source,target,coef_mean,coef_abs,p,-logp
Prrx1,Ccdc18,-0.0025681087,0.0025681087,0.062427129269980376,1.2046266357698483
Pou2f2,Ccdc18,0.0042334287,0.0042334287,1.0477180553565303e-08,7.9797555718149304
Mef2c,Ccdc18,-0.001799769,0.001799769,0.03326046815108839,1.4780716422480835
Foxp3,Ccdc18,0.006562026,0.006562026,8.890005067087478e-11,10.051097991492384
Foxn1,Ccdc18,-0.003135617,0.003135617,2.643173530394794e-06,5.577874323505081
Elf5,Ccdc18,0.013298092,0.013298092,1.4634136018456498e-09,8.834632912689905
Prdm16,Ccdc18,-0.002229997,0.002229997,0.000419942638540655,3.376810027379679
Hes1,Ccdc18,0.009065728,0.009065728,7.65841481273623e-09,8.115861114091308
Mecom,Ccdc18,0.00207441,0.00207441,0.00097971183957412,3.0089016435785094
Pax5,Ccdc18,-0.00046934115,0.00046934115,0.5318669481157864,0.2741969972653012
Irf4,Ccdc18,-0.0021442093,0.0021442093,0.00033994602205304205,3.468590036444631
Npas3,Ccdc18,0.01849635,0.01849635,8.181999492836438e-13,12.08714055175751
Fli1,Ccdc18,-0.0020163467,0.0020163467,8.325107437620149e-07,6.079610153105186
Bcl11a,Ccdc18,0.011234453,0.011234453,3.709734696936539e-09,8.43065714800662
Ppargc1a,Ccdc18,0.0017378594,0.0017378594,0.0020208105554285357,2.6944743983047803
Ebf3,Ccdc18,0.0012083554,0.0012083554,0.037839751458743145,1.4220517248191578
Creb5,Ccdc18,-0.005423416,0.005423416,3.5796786856674064e-06,5.4461559541673665
Zbtb7c,Ccdc18,0.005614921,0.005614921,8.276776238757352e-07,6.082138785720148
Tfap2b,Ccdc3,-0.0063138204,0.0063138204,0.0002490224607258875,3.6037614796938633
Pax5,Ccdc3,0.0038619868,0.0038619868,2.810567116718495e-06,5.551206039236922
Egr1,Ccdc3,-0.0067270487,0.0067270487,1.2708157229059653e-08,7.8959174205925615
Fos,Ccdc3,-0.0049970616,0.0049970616,0.0007971078265561132,3.0984829266454392
Irf4,Ccdc3,0.0072727497,0.0072727497,0.00014807193303532595,3.8295272539909413
Mbd1,Ccdc3,0.008328773,0.008328773,0.00043217929329616555,3.3643360450016977
Plagl1,Ccdc3,0.008133976,0.008133976,0.0003199009147830119,3.494984518013279
Esr1,Ccdc3,0.009994385,0.009994385,0.016771893116261347,1.7754179139268174
Bcl11a,Ccdc3,0.0068975817,0.0068975817,6.933111872121964e-05,4.15907179200471
Pou2f2,Ccdc3,-0.00049011386,0.00049011386,0.5330698196068682,0.27321590488683717
Tfcp2l1,Ccdc3,0.0060105156,0.0060105156,1.6276577129723627e-06,5.788436919469365
Foxa1,Ccdc33,0.00017366756,0.00017366756,0.1053880496857889,0.9772086324798407
Batf3,Ccdc33,-7.094015e-05,7.094015e-05,0.24642707226296054,0.6083115826741402
Fos,Ccdc33,0.0012838092,0.0012838092,6.86919471629063e-09,8.163094172805106
Trp63,Ccdc33,-0.000117948366,0.000117948366,1.2729870788134945e-06,5.895176004538394
Pgr,Ccdc33,-7.949052e-05,7.949052e-05,0.3183401201814322,0.4971086241015942
Egr1,Ccdc33,0.0001907004,0.0001907004,1.1383609442720347e-07,6.9437200127639915
Creb5,Ccdc33,-3.1100495e-05,3.1100495e-05,0.029665951073084177,1.5277417238756166
Ar,Ccdc33,0.00013983094,0.00013983094,0.008158372349057665,2.0883964773162007
Pou2f2,Ccdc33,-0.00010993057,0.00010993057,1.2727819009686395e-07,6.895246009009915
Pou2f2,Ccdc70,6.8205954e-05,6.8205954e-05,1.0414050809177882e-05,4.982380307773083
Erg,Ccdc80,0.0021221149,0.0021221149,0.002480703731099938,2.6054251001500064
Mef2c,Ccdc80,-0.0005481262,0.0005481262,0.31713356556964956,0.4987577896026272
Ebf3,Ccdc80,0.06945591,0.06945591,3.692458204160696e-07,6.432684411873862
Foxa1,Ccdc80,0.0008633342,0.0008633342,0.2932983343312582,0.5326904034115288
Egr1,Ccdc80,-0.0038136381,0.0038136381,1.9792019094539612e-05,4.703509898725
Ppara,Ccdc80,0.044485807,0.044485807,6.152647006379341e-05,4.210938000819532
Pax5,Ccdc80,0.0067871194,0.0067871194,0.0005344587780442188,3.272085785606383
Mlxipl,Ccdc80,0.036133934,0.036133934,0.0003256251958317004,3.4872819981706766
Foxp3,Ccdc80,-0.0059904074,0.0059904074,4.815564418508019e-06,5.31735280314426
Pparg,Ccdc80,0.058672182,0.058672182,9.24358982868066e-07,6.034159333973198
Hes1,Ccdc80,0.0022992205,0.0022992205,0.02056715806496092,1.6868257142349716
Maf,Ccdc80,0.04542377,0.04542377,5.6598508536695004e-11,10.247195013031122
Fli1,Ccdc80,-0.0010774285,0.0010774285,0.635010826237178,0.19721887040095995
Gata3,Ccdc80,-0.0059129572,0.0059129572,0.0017280806870438633,2.762435983431307
Ehf,Ccdc80,-0.0018749994,0.0018749994,0.1483347143165409,0.8287572004762939
Prdm16,Ccdc80,0.05316257,0.05316257,1.0585971578594592e-06,5.975269276344761
Pou2f2,Ccdc80,0.0044576996,0.0044576996,0.027515587578049772,1.5604212086685594
