target,coef_mean_KO_DM,coef_abs_KO_DM,p_KO_DM,coef_mean_WT_DM,coef_abs_WT_DM,p_WT_DM,membership
Rps13,-0.06944459,0.06944459,5.3233978858831354e-12,-0.060741905,0.060741905,3.7241453824474586e-11,both
Il6ra,0.069524646,0.069524646,2.73430689115877e-10,0.07340768,0.07340768,1.53257997151006e-11,both
Dpyd,0.07888646,0.07888646,7.762301762907726e-10,0.12695529,0.12695529,6.29237113690365e-14,both
Osgin2,0.11369863,0.11369863,4.3048970570741894e-13,0.058643833,0.058643833,7.118357122725638e-11,both
Pgm5,0.080209434,0.080209434,3.218549732044803e-18,0.06263585,0.06263585,3.848828103994277e-14,both
Col11a1,0.113314554,0.113314554,1.900464691640141e-15,0.11052709,0.11052709,1.0500664033069283e-18,both
Il15,0.080429584,0.080429584,8.749368540593098e-14,0.07859353,0.07859353,3.900403190938092e-15,both
Rps15a,-0.08070491,0.08070491,2.166654042182759e-09,-0.057395957,0.057395957,3.936057933138526e-11,both
Mme,0.11180472,0.11180472,3.851688639805689e-15,0.12643327,0.12643327,5.5302175281387625e-17,both
Nhs,0.11074434,0.11074434,4.792891279500398e-14,0.07247866,0.07247866,8.809368276911698e-10,both
Rpl26,-0.110144146,0.110144146,8.167092993212163e-11,-0.0590656,0.0590656,3.6824447970485004e-11,both
Arl15,0.08198865,0.08198865,2.404926391107791e-07,0.13705496,0.13705496,4.707824485294984e-14,both
Ksr1,0.10661195,0.10661195,5.119410789789473e-12,0.11526226,0.11526226,1.981980616363528e-13,both
Ncald,0.10398531,0.10398531,2.959522039058474e-09,0.059733205,0.059733205,3.2431565267425354e-08,both
Ndrg1,0.10148813,0.10148813,1.2888084706093229e-15,0.062094066,0.062094066,2.6782926240640183e-13,both
Tmtc1,0.083406396,0.083406396,2.4310740055298334e-11,0.07370719,0.07370719,2.229723966123587e-10,both
Arhgap42,0.10049844,0.10049844,5.581053208940403e-07,0.07226669,0.07226669,1.370618997853717e-08,both
Parm1,0.08346799,0.08346799,4.037733926789612e-10,0.085818835,0.085818835,1.9478761793034534e-12,both
Rpl39,-0.08362516,0.08362516,3.2231305084843883e-10,-0.06056291,0.06056291,3.901682400734594e-12,both
Plin2,0.097825214,0.097825214,4.6915335543660325e-12,0.14058578,0.14058578,1.571994620482661e-15,both
Gramd3,0.09600666,0.09600666,2.666414403362281e-13,0.057650764,0.057650764,2.1880864632885405e-10,both
Cd46,0.084281914,0.084281914,1.3223477959861382e-12,0.06201085,0.06201085,5.980241987270343e-11,both
Plag1,0.09533369,0.09533369,5.404888484322437e-13,0.10682079,0.10682079,5.738563981702387e-16,both
Folr1,0.11775812,0.11775812,8.691815239338802e-15,0.06629224,0.06629224,1.1791484634662237e-11,both
Celf2,0.08700316,0.08700316,1.6976953655955523e-05,0.06785056,0.06785056,0.00025496772240098846,both
Kcnk5,0.11999365,0.11999365,3.0368103331136115e-12,0.11430367,0.11430367,2.42205474331782e-13,both
Me1,0.122428626,0.122428626,5.439232542623849e-16,0.10062664,0.10062664,3.878506420174684e-16,both
Slc2a9,-0.15003619,0.15003619,3.9409600747464153e-13,-0.059388578,0.059388578,3.9676263838923574e-13,both
Bcl2,0.13870431,0.13870431,2.9523105907529474e-09,0.068565145,0.068565145,4.313116182370403e-07,both
4931406C07Rik,0.070238136,0.070238136,6.658068996381482e-13,0.07039645,0.07039645,2.774707021717272e-13,both
Cytip,-0.13702808,0.13702808,6.153027639178048e-10,-0.100007385,0.100007385,9.74418801938766e-14,both
Smyd3,0.13688374,0.13688374,1.2092670141144542e-13,0.09827556,0.09827556,1.4285633233517855e-12,both
Ano4,0.13558406,0.13558406,2.236844558510587e-16,0.10010847,0.10010847,7.780065469666764e-17,both
Efna5,0.13292259,0.13292259,5.701070335463343e-11,0.07714005,0.07714005,4.0365996553538055e-09,both
Ube2h,0.13215499,0.13215499,3.060356448702815e-12,0.07808127,0.07808127,1.4498829747082182e-11,both
Ppp3ca,0.1314717,0.1314717,2.544697483895391e-10,0.08791577,0.08791577,3.3697766851470105e-13,both
Mob3b,0.072878495,0.072878495,1.413654667084072e-05,0.06495703,0.06495703,6.116825143190781e-09,both
Rpl37a,-0.13036263,0.13036263,6.816603072149899e-08,-0.058699638,0.058699638,2.8816585666288336e-06,both
Prickle2,-0.13008685,0.13008685,3.010680341347019e-14,-0.06420413,0.06420413,1.0739480925928546e-11,both
Gm15261,0.07384787,0.07384787,4.580811926411198e-05,0.061634433,0.061634433,8.245714063230723e-06,both
Adcy5,0.073953405,0.073953405,1.188472517588029e-12,0.06381981,0.06381981,8.66962286478481e-11,both
Crispld2,0.07425636,0.07425636,4.331992605986244e-09,0.06405396,0.06405396,1.650913913484733e-08,both
Creb5,0.12813152,0.12813152,1.8069360763977491e-06,0.12543452,0.12543452,1.9017097874151973e-13,both
Lrrc4,-0.12566982,0.12566982,1.7087625597656045e-15,-0.087471284,0.087471284,2.7297696505986205e-12,both
Rbms3,0.124729,0.124729,8.78428565531141e-10,0.08440109,0.08440109,4.059415653863714e-11,both
Rbm47,-0.0758933,0.0758933,2.847454770057117e-07,0.07075963,0.07075963,1.1255083775679572e-08,both
Nr3c2,0.12419774,0.12419774,7.394233543284968e-09,0.09857445,0.09857445,3.584222143226919e-13,both
Tmprss13,0.076782756,0.076782756,5.7512959630453795e-15,0.06681551,0.06681551,1.9235143137604782e-16,both
Rpl17,-0.077912875,0.077912875,3.31449661054695e-10,-0.059435736,0.059435736,1.3292409876530891e-11,both
Igfbp5,0.61264306,0.61264306,1.9864456549482596e-14,0.23375018,0.23375018,9.19814968231582e-13,both
